Player,2017/18,
DJ Augustin ,"$7,458,187 ",
Marco Belinelli ,"$6,487,141 ",
Markelle Fultz ,"$7,228,001 ",
Louis Williams ,"$7,201,008 ",
Kyle Korver ,"$7,201,008 ",
Jeremy Lamb ,"$7,201,008 ",
Jameer Nelson ,"$4,872,047 ",
Dewayne Dedmon ,"$7,098,136 ",
Jae Crowder ,"$6,991,270 ",
Jabari Parker ,"$6,977,151 ",
Langston Galloway ,"$6,858,103 ",
Lance Thomas ,"$6,846,435 ",
Ersan Ilyasova ,"$6,172,292 ",
Matt Barnes ,"$6,584,422 ",
Ed Davis ,"$6,534,946 ",
Jonathon Simmons ,"$6,480,907 ",
Rajon Rondo ,"$3,086,146 ",
Lonzo Ball ,"$6,467,081 ",
Wayne Ellington ,"$6,450,046 ",
Isaiah Thomas ,"$6,441,192 ",
Karl-Anthony Towns ,"$6,395,359 ",
Ben Simmons ,"$6,345,981 ",
Joel Embiid ,"$6,275,438 ",
Josh McRoberts ,"$6,194,075 ",
Alan Williams ,"$6,172,292 ",
Shelvin Mack ,"$6,172,292 ",
Milos Teodosic ,"$6,172,292 ",
Ishmael Smith ,"$6,172,292 ",
Brandan Wright ,"$798,506 ",
Boban Marjanovic ,"$6,050,143 ",
Wesley Johnson ,"$6,050,143 ",
Tyler Johnson ,"$5,988,420 ",
Alex Abrines ,"$5,889,396 ",
Jayson Tatum ,"$5,807,510 ",
D'Angelo Russell ,"$5,722,085 ",
Brandon Ingram ,"$5,677,892 ",
Josh Smith ,"$5,484,832 ",
Patrick Beverley ,"$5,671,837 ",
Aaron Gordon ,"$5,662,481 ",
Deron Williams ,"$5,631,998 ",
Arron Afflalo ,"$3,938,593 ",
Anthony Tolliver ,"$3,384,473 ",
Thabo Sefolosha ,"$5,400,756 ",
Jason Smith ,"$5,375,038 ",
Ben McLemore ,"$5,349,320 ",
Patrick Patterson ,"$5,341,090 ",
Nick Young ,"$5,341,090 ",
Josh Jackson ,"$5,236,202 ",
Larry Sanders ,"$5,143,577 ",
Dirk Nowitzki ,"$5,143,577 ",
Marcus Morris ,"$5,143,577 ",
Mike Muscala ,"$5,143,577 ",
Jahlil Okafor ,"$5,138,557 ",
Dante Exum ,"$5,135,743 ",$0 
Alexis Ajinca ,"$5,104,278 ",$0 
Jaylen Brown ,"$5,098,807 ",$0 
Richard Jefferson ,"$2,571,788 ",$0 
Sean Kilpatrick ,"$1,568,076 ",$0 
Kyle Singler ,"$4,800,500 ",$0 
De'Aaron Fox ,"$4,741,555 ",$0 
Marcus Smart ,"$4,668,330 ",$0 
Kristaps Porzingis ,"$4,632,923 ",$0 
Justin Holiday ,"$4,629,219 ",$0 
Dragan Bender ,"$4,597,123 ",$0 
Devin Harris ,"$4,528,967 ",$0 
Ron Baker ,"$4,452,280 ",$0 
Aron Baynes ,"$4,423,476 ",$0 
Alex Len ,"$4,307,847 ",$0 
Nerlens Noel ,"$4,307,847 ",$0 
Jonathan Isaac ,"$4,306,532 ",$0 
