Player,2018/19,,,,,
Dorian Finney-Smith ,"$1,544,951 ",$0 ,$0 ,$0 ,$0 ,$0 
Quinn Cook ,"$1,544,951 ",$0 ,$0 ,$0 ,$0 ,$0 
Wade Baldwin ,"$1,544,951 ",$0 ,$0 ,$0 ,$0 ,$0 
Ivica Zubac ,"$1,544,951 ",$0 ,$0 ,$0 ,$0 ,$0 
Rodney McGruder ,"$1,544,951 ",$0 ,$0 ,$0 ,$0 ,$0 
Malcolm Brogdon ,"$1,544,951 ",$0 ,$0 ,$0 ,$0 ,$0 
Cheick Diallo ,"$1,544,951 ",$0 ,$0 ,$0 ,$0 ,$0 
Jake Layman ,"$1,544,951 ",$0 ,$0 ,$0 ,$0 ,$0 
Derrick Jones ,"$1,512,601 ","$1,645,357 ",$0 ,$0 ,$0 ,$0 
Treveon Graham ,"$1,512,601 ","$1,645,357 ",$0 ,$0 ,$0 ,$0 
David Nwaba ,"$1,512,601 ",$0 ,$0 ,$0 ,$0 ,$0 
Gerald Green ,"$1,512,601 ",$0 ,$0 ,$0 ,$0 ,$0 
Christian Wood ,"$1,512,601 ",$0 ,$0 ,$0 ,$0 ,$0 
Georges Niang ,"$1,512,601 ","$1,645,357 ","$1,783,557 ",$0 ,$0 ,$0 
Willy Hernangomez ,"$1,496,500 ","$1,557,250 ",$0 ,$0 ,$0 ,$0 
Sviatoslav Mykhailiuk ,"$1,487,694 ","$1,416,852 ","$1,663,861 ",$0 ,$0 ,$0 
Mitchell Robinson ,"$1,485,440 ","$1,559,712 ","$1,663,861 ","$1,802,057 ",$0 ,$0 
Jawun Evans ,"$1,455,492 ",$0 ,$0 ,$0 ,$0 ,$0 
Sindarius Thornwell ,"$1,378,242 ","$1,618,520 ",$0 ,$0 ,$0 ,$0 
Ivan Rabb ,"$1,378,242 ","$1,618,520 ",$0 ,$0 ,$0 ,$0 
Damyean Dotson ,"$1,378,242 ","$1,618,520 ",$0 ,$0 ,$0 ,$0 
Royce O'Neale ,"$1,378,242 ","$1,618,520 ",$0 ,$0 ,$0 ,$0 
Semi Ojeleye ,"$1,378,242 ","$1,618,520 ","$1,752,950 ",$0 ,$0 ,$0 
Daniel Theis ,"$1,378,242 ",$0 ,$0 ,$0 ,$0 ,$0 
Dwayne Bacon ,"$1,378,242 ","$1,618,520 ","$2,023,150 ",$0 ,$0 ,$0 
Maxi Kleber ,"$1,378,242 ",$0 ,$0 ,$0 ,$0 ,$0 
Jordan Bell ,"$1,378,242 ",$0 ,$0 ,$0 ,$0 ,$0 
Zhou Qi ,"$1,378,242 ",$0 ,$0 ,$0 ,$0 ,$0 
Dillon Brooks ,"$1,378,242 ","$1,618,520 ",$0 ,$0 ,$0 ,$0 
Tyler Dorsey ,"$1,378,242 ",$0 ,$0 ,$0 ,$0 ,$0 
Dakari Johnson ,"$1,378,242 ",$0 ,$0 ,$0 ,$0 ,$0 
Rade Zagorac ,"$1,378,242 ",$0 ,$0 ,$0 ,$0 ,$0 
Sterling Brown ,"$1,378,242 ","$1,618,520 ",$0 ,$0 ,$0 ,$0 
Frank Jackson ,"$1,378,242 ","$1,618,520 ",$0 ,$0 ,$0 ,$0 
Abdel Nader ,"$1,378,242 ","$1,618,520 ","$1,752,950 ",$0 ,$0 ,$0 
Khem Birch ,"$1,378,242 ",$0 ,$0 ,$0 ,$0 ,$0 
Wesley Iwundu ,"$1,378,242 ",$0 ,$0 ,$0 ,$0 ,$0 
Frank Mason ,"$1,378,242 ",$0 ,$0 ,$0 ,$0 ,$0 
Thomas Bryant ,"$1,378,242 ",$0 ,$0 ,$0 ,$0 ,$0 
Jabari Bird ,"$1,349,383 ","$1,588,231 ",$0 ,$0 ,$0 ,$0 
Antonio Blakeney ,"$1,349,383 ","$1,588,231 ",$0 ,$0 ,$0 ,$0 
Monte Morris ,"$1,349,383 ","$1,588,231 ","$1,723,707 ",$0 ,$0 ,$0 
Alfonzo McKinnie ,"$1,349,383 ","$1,588,231 ",$0 ,$0 ,$0 ,$0 
Tyrone Wallace ,"$1,349,383 ","$1,588,231 ",$0 ,$0 ,$0 ,$0 
Daniel Hamilton ,"$1,349,383 ",$0 ,$0 ,$0 ,$0 ,$0 
Ryan Arcidiacono ,"$1,349,383 ",$0 ,$0 ,$0 ,$0 ,$0 
Ike Anigbogu ,"$1,349,383 ",$0 ,$0 ,$0 ,$0 ,$0 
Shaquille Harrison ,"$1,325,531 ","$1,588,231 ",$0 ,$0 ,$0 ,$0 
Elie Okobo ,"$1,238,464 ","$1,416,852 ","$1,663,861 ","$1,802,057 ",$0 ,$0 
Jalen Brunson ,"$1,230,000 ","$1,416,852 ","$1,663,861 ","$1,802,057 ",$0 ,$0 
Michael Carter-Williams ,"$1,200,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Corey Brewer ,"$1,109,031 ",$0 ,$0 ,$0 ,$0 ,$0 
Raymond Spalding ,"$1,070,581 ","$708,426 ",$0 ,$0 ,$0 ,$0 
Melvin Frazier ,"$1,050,000 ","$1,416,852 ","$1,663,861 ",$0 ,$0 ,$0 
Isaac Bonga ,"$1,000,000 ","$1,416,852 ","$1,663,861 ",$0 ,$0 ,$0 
Justin Hamilton ,"$1,000,000 ","$1,000,000 ",$0 ,$0 ,$0 ,$0 
Devonte Graham ,"$988,464 ","$1,416,852 ","$1,663,861 ",$0 ,$0 ,$0 
Chasson Randle ,"$975,824 ",$0 ,$0 ,$0 ,$0 ,$0 
Patrick McCaw ,"$964,104 ",$0 ,$0 ,$0 ,$0 ,$0 
De'Anthony Melton ,"$949,000 ","$1,416,852 ",$0 ,$0 ,$0 ,$0 
Jason Thompson ,"$893,333 ",$0 ,$0 ,$0 ,$0 ,$0 
Ryan Broekhoff ,"$838,464 ","$1,416,852 ",$0 ,$0 ,$0 ,$0 
Jarred Vanderbilt ,"$838,464 ","$1,416,852 ","$1,663,861 ",$0 ,$0 ,$0 
Bruce Brown ,"$838,464 ","$1,416,852 ","$1,663,861 ",$0 ,$0 ,$0 
Khyri Thomas ,"$838,464 ","$1,416,852 ","$1,663,861 ",$0 ,$0 ,$0 
Isaiah Hartenstein ,"$838,464 ","$1,416,852 ",$0 ,$0 ,$0 ,$0 
Alize Johnson ,"$838,464 ","$1,416,852 ",$0 ,$0 ,$0 ,$0 
Keita Bates-Diop ,"$838,464 ","$1,416,852 ","$1,663,861 ",$0 ,$0 ,$0 
Kenrich Williams ,"$838,464 ","$1,416,852 ",$0 ,$0 ,$0 ,$0 
Hamidou Diallo ,"$838,464 ","$1,416,852 ","$1,663,861 ",$0 ,$0 ,$0 
Isaiah Briscoe ,"$838,464 ","$1,416,852 ","$1,663,861 ",$0 ,$0 ,$0 
Gary Trent Jr ,"$838,464 ","$1,416,852 ",$0 ,$0 ,$0 ,$0 
Chimezie Metu ,"$838,464 ","$1,416,852 ","$1,663,861 ",$0 ,$0 ,$0 
Brad Wanamaker ,"$838,464 ",$0 ,$0 ,$0 ,$0 ,$0 
Jevon Carter ,"$838,464 ",$0 ,$0 ,$0 ,$0 ,$0 
Lorenzo Brown ,"$800,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Davon Reed ,"$752,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Isaiah Canaan ,"$744,671 ",$0 ,$0 ,$0 ,$0 ,$0 
Bruno Caboclo ,"$705,361 ","$1,845,301 ",$0 ,$0 ,$0 ,$0 
John Jenkins ,"$685,098 ","$1,988,119 ",$0 ,$0 ,$0 ,$0 
Gary Clark ,"$674,122 ","$1,416,852 ","$1,663,861 ",$0 ,$0 ,$0 
James Nunnally ,"$663,255 ",$0 ,$0 ,$0 ,$0 ,$0 
Edmond Sumner ,"$527,044 ",$0 ,$0 ,$0 ,$0 ,$0 
Andrew Bogut ,"$486,892 ",$0 ,$0 ,$0 ,$0 ,$0 
Chris Boucher ,"$457,418 ","$1,588,231 ",$0 ,$0 ,$0 ,$0 
Deonte Burton ,"$364,168 ","$1,416,852 ","$1,663,861 ",$0 ,$0 ,$0 
Andrew Harrison ,"$354,500 ",$0 ,$0 ,$0 ,$0 ,$0 
Danuel House ,"$325,077 ",$0 ,$0 ,$0 ,$0 ,$0 
Eric Moreland ,"$309,859 ",$0 ,$0 ,$0 ,$0 ,$0 
Nick Young ,"$284,020 ",$0 ,$0 ,$0 ,$0 ,$0 
Okaro White ,"$247,827 ",$0 ,$0 ,$0 ,$0 ,$0 
Jaylen Adams ,"$236,854 ","$1,416,852 ",$0 ,$0 ,$0 ,$0 
Quincy Acy ,"$213,948 ",$0 ,$0 ,$0 ,$0 ,$0 
Cam Reynolds ,"$203,694 ",$0 ,$0 ,$0 ,$0 ,$0 
Terrence Jones ,"$198,579 ",$0 ,$0 ,$0 ,$0 ,$0 
Jimmer Fredette ,"$198,579 ","$1,988,119 ",$0 ,$0 ,$0 ,$0 
Dairis Bertans ,"$194,220 ","$1,416,852 ",$0 ,$0 ,$0 ,$0 
Demetrius Jackson ,"$170,107 ","$92,857 ","$92,857 ","$92,857 ","$92,857 ",$0 
Ben Moore ,"$144,849 ",$0 ,$0 ,$0 ,$0 ,$0 
Chris Chiozza ,"$137,374 ",$0 ,$0 ,$0 ,$0 ,$0 
Johnathan Williams ,"$127,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Tyler Zeller ,"$106,974 ",$0 ,$0 ,$0 ,$0 ,$0 
BJ Johnson ,"$94,741 ",$0 ,$0 ,$0 ,$0 ,$0 
Gary Payton II ,"$85,457 ",$0 ,$0 ,$0 ,$0 ,$0 
Alex Poythress ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
PJ Dozier ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
RJ Hunter ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Walter Lemon Jr ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Theo Pinson ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Alan Williams ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Joe Chealey ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
JP Macura ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Rawle Alkins ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Brandon Sampson ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Tyler Ulis ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Deng Adel ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Jaron Blossomgame ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
John Holland ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Jalen Jones ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Billy Preston ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Kostas Antetokounmpo ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Daryl Macon ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
DeVaughn Akoon-Purcell ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Archie Goodwin ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Thomas Welsh ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Keenan Evans ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Zach Lofton ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Marcus Derrickson ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Damion Lee ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Vincent Edwards ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Angel Delgado ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Johnathan Motley ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Alex Caruso ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
DJ Stephens ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Jarnell Stokes ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Julian Washburn ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Yuta Watanabe ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Yante Maten ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Duncan Robinson ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Bonzie Colson ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Trevon Duval ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Jaylen Morris ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Jared Terrell ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
CJ Williams ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Trevon Bluiett ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Kadeem Allen ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Isaiah Hicks ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Tyler Davis ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Donte Grantham ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Troy Caupain ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Amile Jefferson ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Haywood Highsmith ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Shake Milton ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
George King ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Drew Eubanks ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Jordan Loyd ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Tyler Cavanaugh ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Naz Long ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Jordan McRae ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Devin Robinson ,"$77,250 ",$0 ,$0 ,$0 ,$0 ,$0 
Kobi Simmons ,"$76,236 ",$0 ,$0 ,$0 ,$0 ,$0 
Andre Ingram ,"$76,236 ",$0 ,$0 ,$0 ,$0 ,$0 
Scotty Hopson ,"$76,236 ",$0 ,$0 ,$0 ,$0 ,$0 
Wenyen Gabriel ,"$75,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Brandon Goodwin ,"$56,845 ",$0 ,$0 ,$0 ,$0 ,$0 
Jordan Sibert ,"$47,370 ",$0 ,$0 ,$0 ,$0 ,$0 
Mitchell Creek ,"$47,370 ",$0 ,$0 ,$0 ,$0 ,$0 
Tahjere McCall ,"$47,370 ",$0 ,$0 ,$0 ,$0 ,$0 
Stephan hicks ,"$47,370 ",$0 ,$0 ,$0 ,$0 ,$0 
Emanuel Terry ,"$47,370 ",$0 ,$0 ,$0 ,$0 ,$0 
Richard Solomon ,"$47,370 ",$0 ,$0 ,$0 ,$0 ,$0 
Nuni Omot ,"$20,000 ",$0 ,$0 ,$0 ,$0 ,$0 
