Player,2018/19,,,,,
Mirza Teletovic ,"$10,500,000 ",,,,,
Terrence Ross ,"$10,500,000 ",,,,,
Robert Covington ,"$10,464,092 ",,,,,
Rudy Gay ,"$10,087,200 ",,,,,
Jon Leuer ,"$10,002,681 ",,,,,
Andre Roberson ,"$10,000,000 ",,,,,
Darren Collison ,"$10,000,000 ",,,,,
Danny Green ,"$10,000,000 ",,,,,
Dwight Powell ,"$9,631,250 ",,,,,
Matthew Dellavedova ,"$9,607,500 ",,,,,
Jared Dudley ,"$9,530,000 ",,,,,
Boban Marjanovic ,"$9,490,740 ",,,,,
Josh Richardson ,"$9,367,200 ",,,,,
Norman Powell ,"$9,367,200 ",,,,,
Markieff Morris ,"$9,173,294 ",,,,,
Bogdan Bogdanovic ,"$9,000,000 ",,,,,
Rajon Rondo ,"$9,000,000 ",,,,,
E'Twaun Moore ,"$8,808,685 ",,,,,
Kosta Koufos ,"$8,739,500 ",,,,,
Fred VanVleet ,"$8,653,847 ",,,,,
Wayne Ellington ,"$8,653,076 ",,,,,
Kyle Anderson ,"$8,641,000 ",,,,,
Julius Randle ,"$8,641,000 ",,,,,
Jerryd Bayless ,"$8,575,916 ",,,,,
Cristiano Felicio ,"$8,470,980 ",,,,,
Markelle Fultz ,"$8,339,880 ",,,,,
Jerami Grant ,"$8,333,333 ",,,,,
CJ Miles ,"$8,333,333 ",,,,,
Joe Harris ,"$8,333,333 ",,,,,
Shaun Livingston ,"$8,307,692 ",,,,,
Deandre Ayton ,"$8,175,840 ",,,,,
Louis Williams ,"$8,000,000 ",,,,,
Garrett Temple ,"$8,000,000 ",,,,,
PJ Tucker ,"$7,959,537 ",,,,,
Cory Joseph ,"$7,945,000 ",,,,,
JaMychal Green ,"$7,866,667 ",,,,,
Karl-Anthony Towns ,"$7,839,435 ",,,,,
Kyle Korver ,"$7,560,000 ",,,,,
Darrell Arthur ,"$7,464,912 ",,,,,
Lonzo Ball ,"$7,461,960 ",,,,,
Doug McDermott ,"$7,333,334 ",,,,,
Marvin Bagley ,"$7,314,960 ",,,,,
Jae Crowder ,"$7,305,825 ",,,,,
DJ Augustin ,"$7,250,000 ",,,,,
Lance Thomas ,"$7,119,650 ",,,,,
D'Angelo Russell ,"$7,019,698 ",,,,,
Langston Galloway ,"$7,000,000 ",,,,,
Ersan Ilyasova ,"$7,000,000 ",,,,,
Davis Bertans ,"$7,000,000 ",,,,,
Jeremy Lamb ,"$7,000,000 ",,,,,
Al-Farouq Aminu ,"$6,957,105 ",,,,,
Jayson Tatum ,"$6,700,800 ",,,,,
Luka Doncic ,"$6,569,040 ",,,,,
Nemanja Bjelica ,"$6,500,000 ",,,,,
Mario Hezonja ,"$6,500,000 ",,,,,
Ben Simmons ,"$6,434,520 ",,,,,
Dewayne Dedmon ,"$6,300,000 ",,,,,
Milos Teodosic ,"$6,300,000 ",,,,,
Marco Belinelli ,"$6,153,846 ",,,,,
Wesley Johnson ,"$6,134,000 ",,,,,
Josh Jackson ,"$6,041,520 ",,,,,
Montrezl Harrell ,"$6,000,000 ",,,,,
Jonathon Simmons ,"$6,000,000 ",,,,,
Ishmael Smith ,"$6,000,000 ",,,,,
Jaren Jackson ,"$5,922,720 ",,,,,
Brandon Ingram ,"$5,757,120 ",,,,,
Anthony Tolliver ,"$5,750,000 ",,,,,
Kristaps Porzingis ,"$5,697,054 ",,,,,
Deron Williams ,"$5,474,787 ",,,,,
De'Aaron Fox ,"$5,470,920 ",,,,,
Ben McLemore ,"$5,460,000 ",,,,,
Patrick Patterson ,"$5,451,600 ",,,,,
Jason Smith ,"$5,450,000 ",,,,,
Marcus Morris ,"$5,375,000 ",,,,,
Trae Young ,"$5,363,280 ",,,,,
DeMarcus Cousins ,"$5,337,000 ",,,,,
Josh Smith ,"$5,331,729 ",,,,,
Alexis Ajinca ,"$5,285,394 ",,,,,
Thabo Sefolosha ,"$5,250,000 ",,,,,
Aron Baynes ,"$5,193,600 ",,$0 ,$0 ,$0 ,$0 
Jaylen Brown ,"$5,169,960 ","$6,534,829 ","$8,573,696 ",$0 ,$0 ,$0 
Patrick Beverley ,"$5,027,028 ",$0 ,$0 ,$0 ,$0 ,$0 
Tony Parker ,"$5,000,000 ","$5,250,000 ",$0 ,$0 ,$0 ,$0 
Dirk Nowitzki ,"$5,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Mike Muscala ,"$5,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Jonathan Isaac ,"$4,969,080 ","$5,806,440 ","$7,362,565 ","$9,821,662 ",$0 ,$0 
Mo Bamba ,"$4,871,280 ","$5,704,920 ","$5,976,720 ","$7,578,480 ","$10,109,693 ",$0 
Jamal Crawford ,"$4,698,113 ",$0 ,$0 ,$0 ,$0 ,$0 
Ron Baker ,"$4,697,823 ",$0 ,$0 ,$0 ,$0 ,$0 
Willie Cauley-Stein ,"$4,696,874 ","$6,265,631 ",$0 ,$0 ,$0 ,$0 
Dragan Bender ,"$4,661,280 ",$0 ,$0 ,$0 ,$0 ,$0 
Lauri Markkanen ,"$4,536,120 ","$5,300,400 ","$6,731,508 ","$9,026,952 ",$0 ,$0 
Justin Holiday ,"$4,500,000 ",$0 ,$0 ,$0 ,$0 ,$0 
