PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P_pct,FTM,FTA,FT_pct,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Change
Quincy Pondexter,SAS,31,49,26,23,5.5,1.8,0.6,1.1,49.1,0.1,0.4,33.3,0.6,0.8,78.9,0.2,0.7,0.9,0.5,0.2,0.2,0,0.5,4.1,0,0,0.1
Lonnie Walker IV,SAS,20,12,8,4,6.4,1.8,0.6,2.3,25,0.2,0.5,33.3,0.5,0.5,100,0,1,1,0.3,0.3,0.5,0.2,0.4,5.2,0,0,-2.7
Jordan Loyd,TOR,25,9,8,1,4.1,1.8,0.6,1.3,41.7,0.2,0.7,33.3,0.4,0.6,80,0.1,0.7,0.8,0.2,0.2,0,0,0.6,2.8,0,0,-0.4
Chimezie Metu,SAS,22,29,14,15,5,1.8,0.7,2,32.8,0,0.1,0,0.4,0.6,76.5,0.3,0.9,1.2,0.4,0.5,0.2,0.1,0.5,4.2,0,0,0
Eric Moreland,TOR,27,4,2,2,9,1.8,0.8,1.5,50,0.3,0.3,100,0,0,0,0.8,3.3,4,1,0.8,0,0,2.3,7.3,0,0,-2.3
Gary Trent Jr.,POR,20,12,11,1,4.3,1.8,0.7,2.2,30.8,0.3,1.1,30.8,0.1,0.3,25,0,0.6,0.6,0.1,0.2,0,0.1,0.3,2.7,0,0,-1.8
Quincy Acy,PHX,28,10,2,8,12.3,1.7,0.4,1.8,22.2,0.2,1.5,13.3,0.7,1,70,0.3,2.2,2.5,0.8,0.4,0.1,0.4,2.4,7,0,0,0.4
Deng Adel,CLE,22,15,4,11,12.1,1.7,0.6,2.2,27.3,0.3,1.4,23.8,0.1,0.1,100,0.1,1,1.1,0.3,0.3,0.1,0.3,0.8,4.1,0,0,-1.7
Justin Patton,PHI,21,3,2,1,6.9,1.7,0.7,2.3,28.6,0,0.7,0,0.3,0.7,50,0.7,1.3,2,1,0,0.7,0,1.7,7.6,0,0,-1
Trevon Duval,HOU,20,3,2,1,1.9,1.7,0.7,1,66.7,0.3,0.3,100,0,0,0,0,0.3,0.3,0.7,0,0,0,0,3.1,0,0,0.7
Thomas Welsh,DEN,23,11,8,3,3.3,1.6,0.6,1.2,53.8,0.3,0.6,42.9,0.1,0.2,50,0,0.4,0.4,0.5,0.1,0,0,0.3,2.7,0,0,0.2
Ray Spalding,PHX,22,8,1,7,7.9,1.6,0.8,1.5,50,0,0.1,0,0.1,0.4,33.3,0.4,2,2.4,0.4,0.6,0.1,0.4,1.5,5.9,0,0,0.8
Angel Delgado,LAC,24,2,0,2,7.4,1.5,0.5,2.5,20,0,0,0,0.5,1,50,1,1,2,0,0,0.5,0,1,5.4,0,0,1.5
Haywood Highsmith,PHI,22,2,1,1,4.4,1.5,0.5,1,50,0.5,1,50,0,0,0,0,0.5,0.5,1,0,0,0,0,3.6,0,0,-2
Vincent Edwards,HOU,22,2,1,1,7.9,1.5,0.5,2,25,0.5,2,25,0,0,0,0.5,0.5,1,0,0,0,0,0,2.7,0,0,-1
Melvin Frazier Jr.,ORL,22,9,7,2,4.4,1.4,0.7,2,33.3,0,0.4,0,0.1,0.2,50,0.3,0.2,0.6,0.1,0.1,0.1,0,0.7,2.5,0,0,-1.4
Brandon Goodwin,DEN,23,16,10,6,3.6,1.4,0.4,1.4,26.1,0.1,0.4,33.3,0.6,0.7,81.8,0.1,0.1,0.2,0.9,0.2,0,0,0.4,2.8,0,0,0.8
PJ Dozier,BOS,22,5,4,1,2.7,1.4,0.6,1.4,42.9,0.2,0.4,50,0,0,0,0.4,0.8,1.2,0,0,0,0,0.2,2.8,0,0,3
Malachi Richardson,TOR,23,22,16,6,4.7,1.4,0.4,1.3,31,0.4,1.1,32,0.2,0.2,80,0.1,0.5,0.6,0,0.4,0,0,0.6,1.8,0,0,-0.5
Amile Jefferson,ORL,25,9,7,2,3.7,1.3,0.4,0.9,50,0,0,0,0.4,0.4,100,0.3,0.9,1.2,0.1,0,0.1,0.2,0.4,4,0,0,-0.6
Rawle Alkins,CHI,21,4,2,2,5.6,1.3,0.3,1.5,16.7,0.3,0.5,50,0.5,0.5,100,1,0.5,1.5,0.8,0.8,0.3,0,0.5,4.2,0,0,-3
Julian Washburn,MEM,27,11,4,7,12.9,1.2,0.4,2.5,14.8,0.2,1.3,14.3,0.3,0.4,75,0.6,1.8,2.5,0.4,0.4,0.5,0,0.6,5.7,0,0,-1.3
DeVaughn Akoon-Purcell,DEN,25,7,7,0,3.1,1,0.4,1.4,30,0,0.6,0,0.1,0.3,50,0.1,0.4,0.6,0.9,0.3,0.3,0,0.6,3.5,0,0,0.1
Deyonta Davis,ATL,22,2,1,1,3.5,1,0,0,0,0,0,0,1,1,100,0.5,0,0.5,0,0,0,0,0.5,1.6,0,0,3.5
Isaiah Hicks,NYK,24,1,0,1,3.6,1,0,0,0,0,0,0,1,2,50,0,0,0,1,0,0,0,0,2.5,0,0,4
Kostas Antetokounmpo,DAL,21,2,1,1,5.3,1,0,1.5,0,0,0,0,1,2,50,0,0.5,0.5,0,0.5,1,0,0,4.1,0,0,1.5
Terrence Jones,HOU,27,2,2,0,2.6,1,0.5,2,25,0,1,0,0,0.5,0,0,2,2,0,0.5,0,0,0.5,2.9,0,0,-6
Sindarius Thornwell,LAC,24,58,34,24,4.8,1,0.3,0.8,33.3,0.1,0.3,20,0.4,0.5,70,0.1,0.6,0.7,0.3,0.3,0.2,0.1,0.7,2.8,0,0,-0.6
Ron Baker,WAS,25,15,4,11,10.1,0.9,0.3,1.3,20,0.1,0.9,7.7,0.3,0.4,83.3,0.1,0.7,0.7,1,0.3,0.4,0.1,1.2,4.4,0,0,-1.3
Tyler Lydon,DEN,22,24,20,4,3.7,0.9,0.3,0.7,47.1,0.2,0.4,40,0,0.1,33.3,0.3,0.5,0.7,0.2,0.2,0.1,0,0.4,2.1,0,0,-0.5
Jawun Evans,OKC,22,7,3,4,9.1,0.9,0.4,1.9,23.1,0,0.3,0,0,0,0,0.1,1.6,1.7,1.4,0.9,0.4,0,1.1,5.5,0,0,-7.3
Daryl Macon,DAL,23,5,2,3,2.6,0.8,0.4,0.6,66.7,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1.2,0,0,-0.4
