PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P_pct,FTM,FTA,FT_pct,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Change
Andrew Wiggins,MIN,24,65,28,37,34.8,17.7,6.6,16.5,40.4,1.6,4.7,33.2,2.8,4.1,68.8,1.1,3.7,4.8,2.4,1.8,1,0.7,2,30.1,3,0,-0.6
JJ Redick,PHI,34,71,47,24,31.4,17.6,5.8,13.4,43.2,3.1,7.9,39.1,2.9,3.2,90,0.3,2.1,2.4,2.7,1.3,0.4,0.2,1.7,25.1,1,0,4.3
Kevin Love,CLE,30,21,7,14,27.9,17.6,5.1,13.3,38.4,2.5,6.9,36.1,4.9,5.4,90.4,1.6,9.6,11.2,2.2,2,0.2,0.2,2.6,33.7,12,0,-2.4
De'Aaron Fox,SAC,21,74,37,37,31.9,17.6,6.3,13.8,45.6,1.1,2.9,36.7,3.9,5.4,72.7,0.5,3.3,3.8,7.3,2.9,1.7,0.6,2.6,36.9,13,1,1.5
Spencer Dinwiddie,BKN,25,62,32,30,28.4,17.4,5.6,12.4,44.9,1.9,5.5,35.5,4.3,5.5,79.6,0.4,2.1,2.5,4.7,2.2,0.6,0.3,2.8,27.8,2,0,-1
Andre Drummond,DET,25,72,37,35,33.2,17.3,7.1,13.4,52.8,0.1,0.5,13.5,3.1,5.2,59.3,5.3,10.1,15.4,1.3,2.1,1.6,1.7,3.4,45.5,63,0,2.2
Ben Simmons,PHI,22,73,48,25,34.5,17.1,6.9,12.2,56.7,0,0.1,0,3.3,5.4,60.4,2.2,6.7,8.9,7.8,3.5,1.4,0.7,2.6,42.5,40,10,1.6
Pascal Siakam,TOR,24,75,53,22,32,17,6.5,11.9,54.9,0.9,2.6,35.6,3,3.8,78.5,1.6,5.3,6.9,3.1,1.9,1,0.7,3,32.9,16,0,7.3
Jordan Clarkson,CLE,26,75,18,57,27.3,16.9,6.5,14.7,44.5,1.8,5.6,32.5,2,2.4,84.1,1,2.4,3.4,2.4,1.7,0.7,0.2,1.4,25.6,1,0,-4.1
Harrison Barnes,SAC,26,70,32,38,33.2,16.8,5.7,13.7,41.9,2.3,5.9,39.4,3,3.6,83.1,0.8,3.9,4.7,1.5,1.3,0.7,0.2,1.7,26,4,0,-0.5
Josh Richardson,MIA,25,72,35,37,35,16.7,5.8,14.2,41.2,2.3,6.3,35.7,2.8,3.2,86.1,0.8,2.9,3.6,4.1,1.6,1.1,0.5,2.8,30.3,1,0,1
Montrezl Harrell,LAC,25,76,45,31,26.4,16.5,6.7,10.8,61.5,0,0.2,13.3,3.2,5,63.7,2.3,4.3,6.6,1.9,1.6,0.9,1.4,3.1,32.5,17,0,1.1
Clint Capela,HOU,24,61,39,22,33.9,16.5,7,11,64.1,0,0,0,2.4,3.8,63.1,4.5,8.1,12.6,1.4,1.4,0.7,1.5,2.6,38.9,40,0,2.1
Collin Sexton,CLE,20,76,19,57,31.3,16.4,6.2,14.5,42.9,1.4,3.4,41.4,2.6,3.1,83.6,0.7,2.3,3,2.8,2.2,0.5,0.1,2.3,23.8,1,0,-8
Deandre Ayton,PHX,20,70,17,53,30.8,16.3,7.2,12.3,58.4,0,0.1,0,2,2.6,74.6,3.1,7.1,10.2,1.8,1.7,0.9,0.9,3,34.9,38,0,-5.6
Eric Gordon,HOU,30,62,39,23,32.1,16.2,5.7,14,40.4,3,8.7,34.9,1.9,2.4,78.2,0.3,2,2.3,2,1.4,0.6,0.4,2.2,23.5,0,0,3.9
Jayson Tatum,BOS,21,73,44,29,31.3,16,6,13.3,45.1,1.5,4,36.3,2.5,2.9,86.9,0.9,5.2,6.2,2.1,1.5,1.1,0.8,2.2,30.4,8,0,4.2
Aaron Gordon,ORL,23,72,35,37,33.7,15.9,6,13.5,44.2,1.5,4.5,34.2,2.4,3.3,73.3,1.6,5.7,7.3,3.6,2.1,0.7,0.7,2.2,32.3,17,0,1.1
DeMarcus Cousins,GSW,28,24,18,6,25.9,15.9,5.8,12,48.4,0.8,2.9,25.7,3.6,4.7,76.1,1.4,6.6,8,3.7,2.4,1.3,1.5,3.7,37.2,7,0,1.3
Eric Bledsoe,MIL,29,74,56,18,29.4,15.8,6,12.5,48,1.6,4.8,32.5,2.3,3,74.9,1.1,3.6,4.7,5.5,2.1,1.4,0.4,2,33,7,1,7
Rudy Gobert,UTA,26,75,45,30,31.5,15.7,5.8,8.7,66.8,0,0,0,4.1,6.4,63.8,3.9,9,12.8,2,1.6,0.8,2.2,2.8,41.7,60,0,4.3
Malcolm Brogdon,MIL,26,64,49,15,28.6,15.6,5.9,11.7,50.5,1.6,3.8,42.6,2.2,2.4,92.8,1,3.5,4.5,3.2,1.4,0.7,0.2,1.6,27.2,0,0,6.6
Jusuf Nurkic,POR,24,72,45,27,27.4,15.6,5.8,11.5,50.8,0,0.4,10.3,3.9,5.1,77.3,3.4,7,10.4,3.2,2.3,1,1.4,3.5,37.9,36,1,5.9
Chris Paul,HOU,33,52,34,18,32.5,15.5,5.1,12.3,41.5,2.1,6,34.6,3.2,3.7,86.5,0.7,4,4.6,8.2,2.8,1.9,0.3,2.6,37.2,17,1,3.7
Dennis Schroder,OKC,25,72,42,30,29.1,15.5,5.8,14.1,41.2,1.5,4.5,33.7,2.4,2.9,81,0.5,3.1,3.6,4.2,2.2,0.8,0.2,2.3,26.7,2,0,1.8
Jonas Valanciunas,MEM,26,47,30,17,22.1,15.3,6,10.7,56.4,0.3,1,30.4,3,3.8,79.1,2,6.4,8.3,1.4,1.7,0.3,1.1,3,29.8,15,0,1.9
Reggie Jackson,DET,28,75,38,37,28.1,15.2,5.3,12.5,42.4,2.1,5.7,36.8,2.5,2.9,86.5,0.5,2,2.5,4.2,1.7,0.7,0.1,2.5,25.2,0,0,0.3
Kelly Oubre Jr.,PHX,23,69,21,48,28,15.2,5.4,12.2,44.5,1.6,4.9,32,2.7,3.5,77.5,1,3.7,4.7,1.2,1.5,1.2,0.9,2.6,27.4,3,0,-4
Nikola Mirotic,MIL,28,46,24,22,27.1,15.2,5.2,11.8,43.9,2.5,6.9,36.5,2.3,2.7,84.7,1.3,6.1,7.4,1.2,1,0.7,0.7,2.3,29,11,0,2.6
Jeremy Lamb,CHA,26,71,34,37,28.7,15.1,5.4,12.4,43.6,1.4,4.2,34.5,2.8,3.2,88.4,0.8,4.8,5.6,2.1,1.1,1,0.4,1.8,28.3,7,0,0.2
Evan Fournier,ORL,26,75,37,38,31.5,14.9,5.7,13.1,43.1,1.9,5.7,34,1.6,2,80.5,0.5,2.7,3.1,3.7,2,0.9,0.1,2.9,25.3,1,0,1.2
Serge Ibaka,TOR,29,69,49,20,27.5,14.8,6.1,11.7,52.4,0.6,2.3,26.3,1.9,2.5,76.3,2.1,6,8,1.3,1.5,0.4,1.4,2.9,30.3,19,0,4.1
Jabari Parker,WAS,24,61,17,44,27.1,14.6,5.8,11.7,49.6,1,3,31.7,2,2.8,72.5,1.2,5.4,6.7,2.4,2.4,0.7,0.4,2.2,27.3,8,0,-3.4
Emmanuel Mudiay,NYK,23,56,12,44,26.7,14.6,5.6,12.4,45.2,1.1,3.4,33.2,2.3,2.9,77.4,0.6,2.6,3.2,3.8,2.3,0.7,0.3,1.7,24.9,0,0,-5.8
Marvin Bagley III,SAC,20,56,29,27,25,14.6,5.6,10.8,51.7,0.4,1.4,30.4,3,4.3,69.8,2.5,4.8,7.3,1,1.6,0.6,1,2,28,16,0,-1.1
Terrence Ross,ORL,28,75,37,38,26.5,14.6,5.3,12.6,42.2,2.5,6.7,37.4,1.4,1.7,85.6,0.3,3.1,3.5,1.6,1.1,0.9,0.4,1.5,23.7,0,0,-0.8
Kyle Lowry,TOR,33,60,43,17,34.1,14.6,4.8,11.5,41.8,2.5,7,35.3,2.4,2.9,83,0.6,4.1,4.7,8.8,2.9,1.4,0.5,2.6,36,19,2,7.9
Dwyane Wade,MIA,37,65,33,32,25.7,14.4,5.6,12.8,43.5,1.1,3.4,32.9,2.1,3.1,68.2,0.9,2.9,3.8,4.1,2.2,0.9,0.5,1.6,27,3,0,-1.1
Goran Dragic,MIA,32,29,14,15,26.2,14.2,5.1,11.9,42.8,1.7,4.6,36.1,2.4,3.1,77.5,0.4,2.7,3.1,4.3,1.9,0.6,0.2,2.3,24.8,3,1,1.2
Marcus Morris,BOS,29,70,41,29,28,14.2,5.2,11.3,45.6,2,5.2,37.8,1.9,2.2,83.4,1,5.2,6.2,1.5,1.3,0.6,0.3,2.4,25.2,5,0,1.5
Bobby Portis,WAS,24,44,13,31,25.7,14.1,5.5,12.3,45,1.4,3.6,39.9,1.6,2.1,78,2.1,5.7,7.8,1.4,1.5,0.6,0.4,3,27.1,11,0,-2.8
Domantas Sabonis,IND,22,68,41,27,24.8,14.1,5.5,9.4,58.8,0.1,0.2,53.3,2.9,4.1,71.4,2.5,6.8,9.3,2.8,2.1,0.7,0.4,3.3,30.7,27,0,3
Steven Adams,OKC,25,73,42,31,33.7,14,6.1,10.1,59.8,0,0,0,1.9,3.7,51.6,4.8,4.7,9.5,1.6,1.7,1.6,0.9,2.6,33.5,27,0,4.4
Bogdan Bogdanovic,SAC,26,63,30,33,27.7,14,5.1,12.4,41.5,1.8,5.2,35.2,1.9,2.3,82.2,0.5,2.9,3.5,3.8,1.7,1,0.2,2.2,26,1,0,-0.3
Rudy Gay,SAS,32,63,38,25,26.9,14,5.5,10.9,50.9,1.1,2.7,41.8,1.8,2.1,82.8,0.9,5.8,6.7,2.6,1.6,0.8,0.5,2.3,28.3,9,0,2.5
Otto Porter Jr.,CHI,25,56,25,31,30.1,13.9,5.3,11.5,46.5,1.9,4.6,40.6,1.4,1.7,81.3,1,4.6,5.6,2.1,1.2,1.5,0.6,1.9,28.8,6,0,-0.4
Marc Gasol,TOR,34,73,34,39,31.1,13.8,5.1,11.4,44.7,1.2,3.5,34.8,2.5,3.2,76.2,1,7,8,4.4,2,1.1,1.2,2.8,34.7,19,1,0.9
Jaren Jackson Jr.,MEM,19,58,23,35,26.1,13.8,5.1,10.2,50.6,0.9,2.4,35.9,2.6,3.4,76.6,1.3,3.4,4.7,1.1,1.7,0.9,1.4,3.8,26.3,2,0,-1.8
Joe Harris,BKN,27,71,38,33,29.9,13.6,4.9,9.8,50,2.4,5,46.9,1.5,1.8,83.5,0.7,3,3.7,2.4,1.6,0.5,0.2,2.4,22.3,0,0,-1.3
Carmelo Anthony,HOU,34,10,4,6,29.4,13.4,4.9,12.1,40.5,2.1,6.4,32.8,1.5,2.2,68.2,0.9,4.5,5.4,0.5,0.8,0.4,0.7,3.2,23.1,0,0,-6.3
Dennis Smith Jr.,NYK,21,50,19,31,28.6,13.4,5.1,12,42.6,1.2,3.8,32.5,1.9,3,64,0.6,2.4,3,4.8,2.9,1.3,0.4,2.5,26.4,2,1,-3.4
Taurean Prince,ATL,25,51,18,33,28.1,13.4,4.7,10.5,44.8,2.2,5.6,39.4,1.7,2,84.3,0.4,3.3,3.7,2.2,1.9,1,0.4,2.5,23.2,0,0,-4.2
Caris LeVert,BKN,24,34,15,19,26.6,13.3,5.1,12.1,41.9,1.1,3.8,28.7,2.1,2.9,71.4,0.8,3.1,3.9,3.9,1.8,1,0.4,2,26.3,0,0,-0.9
Jerami Grant,OKC,25,73,43,30,32.5,13.3,5,10,49.9,1.3,3.4,39,2,2.8,70.9,1.2,4.1,5.3,1,0.8,0.8,1.3,2.7,26.6,4,0,3.8
Al Horford,BOS,32,63,37,26,28.8,13.3,5.6,10.5,53.1,1.1,3.1,35.6,1.1,1.3,81,1.8,4.9,6.7,4.1,1.5,0.9,1.3,1.9,32.4,9,0,3.4
Robert Covington,MIN,28,35,20,15,34.4,13.3,4.5,10.3,43.1,2.4,6.4,37.8,1.9,2.5,76.4,0.8,4.7,5.5,1.3,1.3,2.1,1.3,3.6,30.9,2,0,1.8
Gary Harris,DEN,24,49,34,15,28.7,13.3,4.8,11.2,42.8,1.6,4.3,35.7,2.1,2.6,79.7,0.8,2.2,2.9,2.4,1.2,0.9,0.4,2,22.9,0,0,4.8
Myles Turner,IND,23,68,41,27,28.6,13.2,5.2,10.7,48.3,1,2.6,37.7,1.9,2.6,72.6,1.4,5.8,7.1,1.6,1.4,0.8,2.8,2.7,33.4,15,0,1.9
Enes Kanter,POR,26,60,23,37,23.8,13.1,5.3,9.8,54,0.2,0.5,29,2.3,2.9,80,3.6,6,9.6,1.8,1.7,0.4,0.4,2.4,27.8,27,0,-4.2
Jaylen Brown,BOS,22,70,39,31,25.9,13,5,10.7,46.2,1.3,3.8,34,1.8,2.7,66.8,0.9,3.4,4.3,1.3,1.3,0.9,0.4,2.6,22.9,2,0,1.4
Cedi Osman,CLE,23,70,17,53,32.1,13,4.7,11,42.7,1.7,4.9,35.4,1.8,2.3,77.9,0.5,4.2,4.8,2.6,1.6,0.7,0.2,2.6,23.7,3,0,-8.4
Dwight Howard,WAS,33,9,4,5,25.5,12.8,4.8,7.7,62.3,0,0,0,3.2,5.3,60.4,2.7,6.6,9.2,0.4,1.8,0.8,0.4,3.8,26.4,3,0,-5.6
Paul Millsap,DEN,34,63,45,18,27.2,12.7,4.7,9.6,49,0.8,2.3,35.9,2.6,3.6,72.3,2.1,5,7.2,2,1.3,1.3,0.8,2.6,29.4,13,0,5.2
Justise Winslow,MIA,23,61,29,32,29.7,12.7,4.9,11.3,43.6,1.5,3.8,38,1.4,2.2,62.9,1,4.5,5.4,4.3,2.1,1.1,0.3,2.6,27.6,6,0,2.1
Ricky Rubio,UTA,28,65,37,28,28.2,12.7,4.3,10.8,40.3,1.2,3.8,31.4,2.8,3.3,85.4,0.5,3.2,3.6,6.2,2.7,1.4,0.2,2.7,28.1,6,0,3.4
Kevin Knox,NYK,19,68,12,56,28.2,12.5,4.4,12,36.9,1.6,4.7,35,2.1,2.8,72.5,0.8,3.5,4.3,1,1.4,0.6,0.3,2.4,20.4,2,0,-8.5
Brook Lopez,MIL,30,76,57,19,28.6,12.5,4.4,9.7,45.8,2.4,6.4,37.4,1.3,1.6,82.5,0.4,4.4,4.8,1.2,1,0.6,2.2,2.3,27.5,2,0,7.2
Trevor Ariza,WAS,33,69,22,47,34,12.5,4.3,10.7,39.9,2.1,6.3,33.4,1.9,2.4,79.3,0.7,4.7,5.4,3.7,1.5,1.3,0.3,1.9,27.8,5,0,-4.8
Wesley Matthews,IND,32,65,27,38,30.5,12.5,4.1,10.3,39.9,2.2,6,37,2,2.5,81.3,0.5,2,2.5,2.3,1.3,0.8,0.3,2.4,20.8,0,0,-1.4
Thaddeus Young,IND,30,75,45,30,30.7,12.4,5.3,10.3,51.9,0.6,1.8,35.6,1.1,1.6,65.6,2.4,4.1,6.5,2.4,1.5,1.6,0.5,2.4,28.5,10,0,2.1
Hassan Whiteside,MIA,29,66,31,35,23.7,12.3,5.3,9.6,55.8,0,0.2,12.5,1.6,3.5,45.4,3.7,7.8,11.4,0.8,1.4,0.7,1.9,2.7,33.5,34,0,-0.2
Jeff Green,WAS,32,74,29,45,27.5,12.3,4.2,8.8,47.6,1.5,4.1,35.8,2.4,2.6,89.3,0.8,3.3,4,1.8,1.3,0.6,0.5,2.1,21.7,2,0,-1
Will Barton,DEN,28,35,23,12,28.2,12.2,4.5,11.1,40.8,1.7,4.7,35.6,1.5,1.9,81.8,0.8,4,4.9,3.1,1.6,0.5,0.5,2,24,1,0,0.7
Willie Cauley-Stein,SAC,25,75,37,38,27.6,12.2,5.2,9.4,55.6,0,0,50,1.7,3.2,53.9,2.3,6.2,8.5,2.5,1.1,1.2,0.7,2.9,30.7,22,0,0.9
Jeff Teague,MIN,30,42,23,19,30.1,12.1,4.2,9.9,42.3,0.8,2.5,33.3,2.9,3.6,80.4,0.4,2.1,2.5,8.2,2.3,1,0.4,2.1,29.5,11,0,0
Jae Crowder,UTA,28,74,44,30,27.5,12,4,10.1,39.9,2.2,6.6,33.1,1.8,2.5,70.8,0.8,4,4.8,1.7,1.1,0.9,0.4,2.1,22.9,3,0,2.9
E'Twaun Moore,NOP,30,53,21,32,27.6,11.9,4.8,10,48.1,1.4,3.3,43.2,0.8,1.1,76.3,0.7,1.7,2.4,1.9,1.1,0.8,0.2,2.1,19.3,0,0,0.2
Joe Ingles,UTA,31,75,45,30,31.4,11.9,4.3,9.8,44.1,2.2,5.8,38,1.1,1.5,71.4,0.4,3.6,4,5.6,2.3,1.2,0.3,2.3,27.2,5,0,5.4
Derrick Favors,UTA,27,74,44,30,23.4,11.8,4.8,8.2,58.4,0.2,1,22.1,2.1,3,67.6,2.7,4.7,7.4,1.2,1.1,0.7,1.4,2.2,28,15,0,2.4
Kent Bazemore,ATL,29,61,22,39,24.8,11.8,4.2,10.3,40.7,1.4,4.4,31.1,2,2.7,73.7,0.6,3.3,3.9,2.3,1.9,1.4,0.7,2.6,24.2,0,0,-4.6
D.J. Augustin,ORL,31,75,37,38,27.9,11.8,3.9,8.3,47.2,1.6,3.8,42.4,2.3,2.7,86.7,0.5,1.9,2.4,5.1,1.5,0.6,0.1,1.4,22.8,2,0,2
JaVale McGee,LAL,31,68,31,37,22,11.7,5.2,8.4,62.3,0,0.1,12.5,1.3,2,64.2,2.5,4.8,7.3,0.6,1.4,0.6,2,2.7,27.9,12,0,-1.9
Bryn Forbes,SAS,25,76,44,32,27.9,11.7,4.4,9.7,45,2.1,5,41.3,0.8,1,87.7,0.2,2.7,2.9,2.1,1,0.6,0.1,2,19.1,1,0,-0.9
Malik Beasley,DEN,22,73,49,24,23.6,11.3,4.3,9,47.7,2,5,40.5,0.7,0.8,90.9,0.4,2.1,2.5,1.2,0.7,0.7,0.1,1.5,17.9,0,0,1.9
Rodney Hood,POR,26,65,24,41,26.2,11.3,4.1,9.3,43.7,1.2,3.3,35.8,2,2.3,88.4,0.3,1.8,2.2,1.7,0.7,0.8,0.2,2.1,18.7,0,0,-4.3
Kris Dunn,CHI,25,46,14,32,30.2,11.3,4.7,11,42.5,0.7,2.1,35.4,1.2,1.5,79.7,0.4,3.7,4.1,6,2.3,1.5,0.5,3.6,28.7,2,0,-4.8
Dion Waiters,MIA,27,37,18,19,25.1,11.3,4.2,10.2,41.8,2.2,6,37.2,0.5,1.1,50,0.2,2.5,2.7,2.7,1.5,0.7,0.2,1.5,19.7,0,0,-0.3
Darren Collison,IND,31,72,44,28,28.4,11.2,4,8.6,46.9,1.1,2.5,41.5,2.1,2.5,83.9,0.5,2.7,3.1,6,1.7,1.5,0.1,1.8,27.1,6,0,1.7
Reggie Bullock,LAL,28,61,26,35,29.9,11.1,3.8,9.4,40.8,2.3,6.2,37.1,1.2,1.4,85.5,0.4,2.4,2.7,2.1,1,0.6,0.2,1.7,18.9,0,0,-1.2
DeMarre Carroll,BKN,32,62,33,29,25.4,11.1,3.4,8.5,39.6,1.6,4.6,35.4,2.8,3.6,75.7,1,4.2,5.2,1.3,1.1,0.5,0.1,1.6,20.1,3,0,0.9
Jarrett Allen,BKN,20,74,38,36,26.3,11.1,4.2,7.2,58.6,0.1,0.6,14,2.5,3.5,71,2.5,5.9,8.4,1.4,1.3,0.6,1.5,2.4,28.2,24,0,-1.7
Josh Jackson,PHX,22,73,17,56,24.3,11,4.2,10.2,40.9,0.8,2.7,31.6,1.8,2.7,67.5,0.8,3.3,4.2,2.2,2.3,0.9,0.7,2.6,21.9,1,0,-4.9
DeAndre Jordan,NYK,30,69,25,44,29.7,11,4.1,6.5,64.1,0,0,0,2.7,3.8,70.5,3.3,9.8,13.1,2.3,2.2,0.6,1.1,2.4,32.8,42,0,-3.1
Damyean Dotson,NYK,24,66,9,57,26.9,10.9,4.1,9.6,42.4,1.7,4.6,37,1.1,1.5,74,0.5,3.1,3.6,1.7,0.8,0.8,0.1,1.9,19.9,1,0,-4.7
Gordon Hayward,BOS,29,66,40,26,25.6,10.9,3.9,8.7,45,1.1,3.3,33,2,2.4,82.6,0.8,3.6,4.4,3.4,1.5,0.9,0.3,1.4,23.4,2,0,3.2
J.J. Barea,DAL,34,38,20,18,19.8,10.9,4.2,10.1,41.8,1,3.4,29.7,1.4,2.1,70.5,0.3,2.2,2.5,5.6,1.9,0.6,0,1.3,22.2,3,0,1.5
Marco Belinelli,SAS,33,74,43,31,23.2,10.9,3.7,8.9,42.3,1.9,5.1,38.2,1.5,1.6,90.9,0.2,2.4,2.6,1.7,0.9,0.4,0.1,1.5,17.3,1,0,0.7
Dewayne Dedmon,ATL,29,63,24,39,25.1,10.9,4.1,8.3,49,1.3,3.4,38.1,1.5,1.8,81.4,1.7,5.9,7.5,1.4,1.3,1.1,1.1,3.3,27.3,11,0,-2.5
Fred VanVleet,TOR,25,58,41,17,27.5,10.9,3.8,9.4,40.7,1.7,4.6,37.8,1.5,1.8,84.5,0.4,2.3,2.7,4.8,1.3,0.8,0.3,1.8,23.3,1,0,4.3
Tyler Johnson,PHX,26,57,26,31,26.8,10.9,3.8,9.2,41.3,1.6,4.6,34.6,1.7,2.2,74.8,0.6,2.4,3,2.9,1.4,0.9,0.5,1.7,21.8,0,0,-2.2
Allonzo Trier,NYK,23,64,13,51,22.8,10.9,3.6,8.1,44.8,0.8,2.1,39.4,2.8,3.5,80.3,0.5,2.6,3.1,1.9,1.8,0.4,0.2,1.8,17.5,2,0,-3.2
Tristan Thompson,CLE,28,40,8,32,28.2,10.8,4.7,8.9,52.5,0,0,0,1.5,2.3,65.6,4.1,6.3,10.4,2.1,1.4,0.7,0.4,2.2,28.3,18,0,-6.4
Taj Gibson,MIN,33,70,32,38,24.1,10.8,4.3,7.7,56.6,0.2,0.5,32.4,1.9,2.5,75.7,2.5,4.1,6.5,1.2,1,0.8,0.6,2.7,23.3,13,0,-1.2
Elfrid Payton,NOP,25,37,17,20,29.5,10.6,4.3,9.8,43.8,0.8,2.4,33,1.3,1.8,73.8,1.3,4.1,5.4,7.4,2.6,1.1,0.4,2,29.8,8,6,-1.6
Shai Gilgeous-Alexander,LAC,20,76,45,31,26.2,10.5,4,8.5,47,0.6,1.7,36.7,1.9,2.4,80.7,0.7,2.1,2.8,3.2,1.8,1.1,0.6,2.1,21.9,1,0,-1.3
Kenneth Faried,HOU,29,33,17,16,19.9,10.5,4.2,7.2,59.3,0.2,0.6,33.3,1.8,2.8,65.2,2.8,4.1,6.9,0.6,0.9,0.4,0.7,2.1,21.9,13,0,1.1
Alex Len,ATL,25,71,26,45,19.5,10.4,3.9,8,48.9,0.8,2.3,33.5,1.8,2.7,67,2,3.4,5.5,1,1.3,0.4,0.9,2.6,20.9,8,0,-2.3
Trey Burke,DAL,26,51,12,39,19,10.4,3.9,9.3,42,0.9,2.5,34.6,1.7,2,83.7,0.5,1.2,1.7,2.5,0.9,0.6,0.1,1,17.5,1,0,-1.7
Monte Morris,DEN,23,74,50,24,24.2,10.4,4.2,8.6,49.4,1.1,2.7,41.9,0.8,1,78.9,0.5,2,2.5,3.7,0.7,0.9,0.1,1.2,21,1,0,2.2
Wendell Carter Jr.,CHI,19,44,10,34,25.2,10.3,4.1,8.4,48.5,0.1,0.7,18.8,2,2.5,79.5,2,5,7,1.8,1.5,0.6,1.3,3.5,25.6,7,0,-6.6
Kentavious Caldwell-Pope,LAL,26,75,33,42,23.8,10.3,3.5,8.2,43.1,1.7,4.9,34.7,1.6,1.8,87.6,0.6,2.2,2.8,1.1,0.7,0.9,0.2,1.6,17.7,0,0,-1.9
Dwight Powell,DAL,27,71,27,44,21.1,10.3,3.7,6.2,59.7,0.5,1.6,31.6,2.4,3.2,76.8,1.7,3.4,5.1,1.4,0.8,0.6,0.6,2.5,21.4,5,0,0.4
Marvin Williams,CHA,32,72,35,37,28.6,10.3,3.7,8.8,42.6,1.9,5.2,36.9,0.9,1.2,76.7,1,4.4,5.5,1.2,0.6,0.9,0.8,2.1,23.3,5,0,0.8
Dario Saric,MIN,24,73,36,37,24.7,10.3,3.6,8.3,43.5,1.4,3.9,36.9,1.6,1.8,86.5,1.6,4.1,5.7,1.5,1.3,0.6,0.1,2.2,20.1,3,0,-0.7
Cody Zeller,CHA,26,49,22,27,25.4,10.1,3.9,7,55.1,0.1,0.4,27.3,2.3,2.9,78.7,2.2,4.6,6.8,2.1,1.3,0.8,0.8,3.3,25,4,0,0.9
Kelly Olynyk,MIA,27,72,37,35,22.7,10.1,3.3,7.2,46.5,1.4,4.1,35.6,2,2.4,82.1,0.9,3.8,4.7,1.9,1.4,0.7,0.4,2.4,20.4,3,0,1.6
Danny Green,TOR,31,74,51,23,27.9,10.1,3.6,7.9,45.8,2.4,5.5,44.8,0.4,0.5,82.5,0.8,3.3,4,1.5,0.9,0.9,0.6,2.2,20.8,1,0,7.8
Tyreke Evans,IND,29,63,38,25,20,10.1,3.7,9.5,39.1,1,3.1,34,1.6,2.2,73.9,0.5,2.3,2.8,2.5,1.7,0.9,0.3,1.7,18.8,1,0,1.9
Kadeem Allen,NYK,26,16,2,14,21.9,10.1,3.7,7.7,48,0.9,1.8,48.3,1.8,2.3,78.4,0.4,2.1,2.5,3.6,1.4,0.8,0.2,2.7,20,0,0,-2.4
Thomas Bryant,WAS,21,66,28,38,20,10,4,6.6,61,0.4,1.3,34.5,1.5,1.8,79.3,1.5,4.5,6,1.2,0.8,0.4,0.9,1.7,21.9,11,0,-1.7
Avery Bradley,MEM,28,63,31,32,30.2,9.9,3.9,9.7,40.8,1.4,3.9,35.1,0.7,0.8,86,0.7,2.1,2.8,2.4,1.4,0.7,0.3,2.7,18.2,0,0,-1.3
Justin Holiday,MEM,29,75,22,53,31.6,9.9,3.5,9.2,37.7,1.9,5.5,34,1.1,1.2,89.1,0.6,3.4,4,1.8,1.2,1.5,0.4,2,21.9,3,0,-5.8
Patty Mills,SAS,30,76,44,32,23.5,9.9,3.4,8.1,42.6,1.9,4.8,39.5,1.1,1.3,85.6,0.3,1.9,2.3,3,1.2,0.6,0.1,1.6,18.1,0,0,2.7
Lonzo Ball,LAL,21,47,25,22,30.3,9.9,3.9,9.7,40.6,1.6,4.9,32.9,0.4,1,41.7,1.1,4.2,5.3,5.4,2.2,1.5,0.4,2.4,27.9,4,1,-0.3
Nicolas Batum,CHA,30,70,32,38,32.1,9.9,3.6,7.9,45.2,1.6,4.2,39.2,1.1,1.3,86.5,1,4.3,5.3,3.4,1.6,1,0.6,1.9,24.4,0,0,-0.5
Jeremy Lin,TOR,30,69,27,42,19.6,9.9,3.3,7.5,44.4,0.8,2.6,29.3,2.4,2.9,83.5,0.3,2.1,2.4,3.2,1.7,0.6,0.2,2,18.3,1,0,-2.6
Derrick White,SAS,24,61,37,24,25.8,9.8,3.8,8,47.4,0.7,2.1,33.3,1.5,1.9,76.9,0.5,3.1,3.6,4,1.4,1.1,0.7,2.2,23.9,0,0,1.8
Wayne Ellington,DET,31,46,23,23,23.4,9.7,3.3,8,40.7,2.6,6.7,39,0.6,0.7,79.4,0.2,1.6,1.8,1.2,0.7,1,0.1,1.7,16.3,0,0,-1.1
Luke Kennard,DET,22,57,27,30,22.8,9.7,3.6,8.2,44,1.6,4.2,39.5,0.8,0.9,81.1,0.2,2.7,2.9,1.8,0.9,0.4,0.2,1.5,16.8,0,0,1.3
Markieff Morris,OKC,29,51,19,32,22.6,9.7,3.6,8.5,42,1.2,3.6,33.5,1.3,1.7,77,1,3.6,4.6,1.4,1,0.6,0.4,3.1,19.5,1,0,-3.4
Allen Crabbe,BKN,26,43,19,24,26.4,9.6,3.2,8.7,36.7,2.3,6,37.8,1,1.3,73.2,0.4,3.1,3.4,1.1,1.1,0.5,0.3,2.4,16.8,1,0,0.1
Danuel House Jr.,HOU,25,33,22,11,25.8,9.6,3.1,6.6,46.3,1.9,4.6,41.2,1.5,2,78.5,0.8,2.9,3.6,1,1,0.5,0.3,1.9,16.9,0,0,3
