Player,2015/16
Amir Johnson ,"$12,671,359 "
Al Horford ,"$12,671,359 "
Nicolas Batum ,"$12,524,319 "
Andre Iguodala ,"$12,365,616 "
Stephen Curry ,"$12,006,943 "
Nikola Vucevic ,"$11,879,399 "
Kenneth Faried ,"$11,864,569 "
Thaddeus Young ,"$11,864,569 "
Marcin Gortat ,"$11,844,966 "
Jrue Holiday ,"$11,615,413 "
Deron Williams ,"$5,781,083 "
Tyreke Evans ,"$11,335,150 "
Wilson Chandler ,"$11,034,049 "
Monta Ellis ,"$10,876,250 "
Anderson Varejao ,"$484,229 "
Luol Deng ,"$10,719,560 "
Gerald Wallace ,"$10,671,243 "
Danny Green ,"$10,559,466 "
Zach Randolph ,"$10,559,466 "
Mike Conley ,"$10,221,563 "
DeMar DeRozan ,"$10,031,493 "
Rajon Rondo ,"$10,031,493 "
Alec Burks ,"$9,728,947 "
Omer Asik ,"$9,728,946 "
Jeff Green ,"$9,714,709 "
Lance Stephenson ,"$9,503,519 "
Iman Shumpert ,"$9,491,656 "
Ryan Anderson ,"$8,975,546 "
Kevin Garnett ,"$8,975,546 "
Taj Gibson ,"$8,975,546 "
Tiago Splitter ,"$8,975,546 "
Brandon Jennings ,"$8,811,343 "
Dirk Nowitzki ,"$8,799,555 "
Corey Brewer ,"$8,689,781 "
Trevor Ariza ,"$8,658,762 "
Channing Frye ,"$8,651,401 "
Al-Farouq Aminu ,"$8,492,868 "
Markieff Morris ,"$8,447,573 "
Arron Afflalo ,"$8,447,573 "
OJ Mayo ,"$8,447,573 "
George Hill ,"$8,447,573 "
Jeff Teague ,"$8,447,573 "
Ersan Ilyasova ,"$8,341,978 "
Avery Bradley ,"$8,162,823 "
Kosta Koufos ,"$8,130,789 "
Boris Diaw ,"$7,919,599 "
Pau Gasol ,"$7,865,493 "
Jose Calderon ,"$7,816,974 "
Kevin Martin ,"$7,481,382 "
JJ Redick ,"$7,481,382 "
Anthony Davis ,"$7,466,313 "
Cory Joseph ,"$7,391,626 "
Louis Williams ,"$7,391,626 "
Rodney Stuckey ,"$7,391,626 "
Marvin Williams ,"$7,391,626 "
Ed Davis ,"$7,371,354 "
Isaiah Thomas ,"$7,299,620 "
Josh Smith ,"$5,630,021 "
Jae Crowder ,"$7,176,337 "
Jason Thompson ,"$6,791,056 "
Carl Landry ,"$7,127,639 "
Greivis Vasquez ,"$6,969,247 "
Aron Baynes ,"$6,863,653 "
Patrick Beverley ,"$6,849,383 "
Michael Kidd-Gilchrist ,"$6,685,623 "
Jarrett Jack ,"$6,652,463 "
Jodie Meeks ,"$6,620,785 "
Patrick Patterson ,"$6,619,386 "
Marco Belinelli ,"$6,399,676 "
Gerald Henderson ,"$6,335,679 "
Andrew Wiggins ,"$6,080,858 "
Kyle Korver ,"$6,067,975 "
Martell Webster ,"$6,033,151 "
Karl-Anthony Towns ,"$6,022,697 "
Bradley Beal ,"$6,013,270 "
Jamal Crawford ,"$5,992,497 "
Courtney Lee ,"$5,992,497 "
JJ Hickson ,"$5,508,953 "
Josh McRoberts ,"$5,853,877 "
Shaun Livingston ,"$5,853,877 "
Nikola Mirotic ,"$5,853,877 "
Spencer Hawes ,"$5,853,877 "
PJ Tucker ,"$5,807,706 "
Mirza Teletovic ,"$5,807,706 "
Brandan Wright ,"$5,769,692 "
Chase Budinger ,"$5,279,733 "
Tim Duncan ,"$5,543,719 "
Nick Young ,"$5,511,164 "
Zaza Pachulia ,"$5,490,922 "
Victor Oladipo ,"$5,483,024 "
Jabari Parker ,"$5,440,701 "
Dion Waiters ,"$5,425,908 "
D'Angelo Russell ,"$5,388,622 "
Darren Collison ,"$5,294,050 "
Chris Kaman ,"$5,279,733 "
CJ Watson ,"$5,279,733 "
Larry Sanders ,"$5,279,733 "
Tony Allen ,"$5,279,733 "
Chris Andersen ,"$5,279,733 "
Marcus Morris ,"$5,279,733 "
JR Smith ,"$5,279,733 "
Jonas Jerebko ,"$5,279,733 "
Timofey Mozgov ,"$5,226,935 "
Mike Dunleavy ,"$5,108,141 "
Trevor Booker ,"$5,042,145 "
Otto Porter ,"$4,923,837 "
Jonas Valanciunas ,"$4,921,220 "
Joel Embiid ,"$4,885,822 "
Anthony Bennett ,"$3,854,205 "
Jahlil Okafor ,"$4,839,065 "
Raymond Felton ,"$4,793,997 "
Alexis Ajinca ,"$4,793,582 "
Kyle Singler ,"$4,751,759 "
Kris Humphries ,"$1,055,946 "
Derrick Williams ,"$4,646,165 "
CJ Miles ,"$4,640,067 "
Mike Miller ,"$1,583,061 "
Jameer Nelson ,"$4,588,088 "
Jason Smith ,"$4,540,570 "
Mario Chalmers ,"$4,540,570 "
Jose Juan Barea ,"$4,530,011 "
Jared Dudley ,"$4,487,773 "
Damian Lillard ,"$4,473,292 "
Cody Zeller ,"$4,439,410 "
Aaron Gordon ,"$4,405,071 "
Kristaps Porzingis ,"$4,362,875 "
Vince Carter ,"$4,316,730 "
Devin Harris ,"$4,280,222 "
Alan Anderson ,"$4,223,786 "
Jordan Hill ,"$4,223,786 "
Ian Mahinmi ,"$4,223,786 "
Thabo Sefolosha ,"$4,223,786 "
Nemanja Bjelica ,"$4,170,989 "
Harrison Barnes ,"$4,090,101 "
Marreese Speights ,"$4,028,964 "
Alex Len ,"$4,020,115 "
Dante Exum ,"$3,989,070 "
Steve Novak ,"$3,519,590 "
Nick Collison ,"$3,959,799 "
Kyle O'Quinn ,"$3,959,799 "
Mario Hezonja ,"$3,950,803 "
Terrence Ross ,"$3,752,746 "
Lavoy Allen ,"$3,748,610 "
Matt Barnes ,"$3,740,691 "
Will Barton ,"$3,731,011 "
Nerlens Noel ,"$3,651,252 "
Marcus Smart ,"$3,622,995 "
Bojan Bogdanovic ,"$3,617,155 "
Evan Turner ,"$3,617,155 "
Willie Cauley-Stein ,"$3,588,402 "
Quincy Pondexter ,"$3,571,235 "
Paul Pierce ,"$3,564,875 "
Anthony Morrow ,"$3,531,085 "
Mike Scott ,"$3,519,821 "
Drew Gooden ,"$3,484,623 "
Andre Drummond ,"$3,455,152 "
Norris Cole ,"$3,383,020 "
Patrick Mills ,"$3,379,029 "
KJ McDaniels ,"$3,368,252 "
Ben McLemore ,"$3,333,201 "
Randy Foye ,"$3,310,392 "
Julius Randle ,"$3,307,478 "
Austin Rivers ,"$3,284,834 "
Emmanuel Mudiay ,"$3,275,799 "
Meyers Leonard ,"$3,247,964 "
Jeremy Lamb ,"$3,204,118 "
Jerryd Bayless ,"$3,167,839 "
Brandon Bass ,"$3,167,839 "
Anthony Tolliver ,"$3,167,839 "
DJ Augustin ,"$3,167,839 "
Toney Douglas ,"$633,567 "
John Henson ,"$3,107,883 "
Luis Scola ,"$3,062,245 "
Moe Harkless ,"$3,055,970 "
Kentavious Caldwell-Pope ,"$3,053,544 "
Kirk Hinrich ,"$3,030,566 "
Nik Stauskas ,"$3,029,975 "
Brian Roberts ,"$3,014,664 "
Udonis Haslem ,"$3,014,664 "
Dante Cunningham ,"$3,009,447 "
Stanley Johnson ,"$3,000,958 "
Omri Casspi ,"$2,994,861 "
Bismack Biyombo ,"$2,971,433 "
Manu Ginobili ,"$2,971,433 "
Sonny Weems ,"$2,971,433 "
Kevin Seraphin ,"$2,971,433 "
Darrell Arthur ,"$2,971,433 "
Tibor Pleiss ,"$2,851,055 "
Furkan Aldemir ,"$2,833,992 "
Trey Burke ,"$2,806,959 "
Noah Vonleh ,"$2,785,291 "
Tyler Zeller ,"$2,763,386 "
Frank Kaminsky ,"$2,758,681 "
CJ McCollum ,"$2,666,434 "
Elfrid Payton ,"$2,645,906 "
James Johnson ,"$2,639,866 "
Leandro Barbosa ,"$2,639,866 "
Joel Anthony ,"$2,639,866 "
Terrence Jones ,"$2,628,809 "
Justise Winslow ,"$2,620,563 "
Shelvin Mack ,"$2,569,469 "
Michael Carter-Williams ,"$2,533,258 "
Andrew Nicholson ,"$2,513,779 "
Doug McDermott ,"$2,513,617 "
Tony Wroten ,"$176,771 "
Jordan Farmar ,"$2,217,487 "
Evan Fournier ,"$2,416,221 "
Steven Adams ,"$2,406,544 "
Myles Turner ,"$2,405,404 "
Jared Sullinger ,"$2,396,217 "
Aaron Brooks ,"$2,375,879 "
Trey Lyles ,"$2,365,109 "
Ramon Sessions ,"$2,291,895 "
Kelly Olynyk ,"$2,286,293 "
Zach LaVine ,"$2,268,553 "
Kendall Marshall ,"$2,264,764 "
Gary Neal ,"$2,258,669 "
Jeremy Lin ,"$2,258,669 "
Miles Plumlee ,"$2,227,300 "
Joe Ingles ,"$2,217,487 "
Steve Blake ,"$2,217,487 "
Danny Granger ,"$2,217,487 "
Maurice Williams ,"$2,217,487 "
Beno Udrih ,"$2,196,860 "
Shabazz Muhammad ,"$2,171,997 "
Devin Booker ,"$2,170,857 "
TJ Warren ,"$2,155,271 "
Perry Jones ,"$2,152,236 "
Cameron Payne ,"$2,134,617 "
Festus Ezeli ,"$2,121,130 "
DeJuan Blair ,"$2,111,893 "
Kent Bazemore ,"$2,111,893 "
Giannis Antetokounmpo ,"$2,063,277 "
Adreian Payne ,"$2,047,311 "
Kelly Oubre ,"$2,027,671 "
Lucas Nogueira ,"$1,945,053 "
Jusuf Nurkic ,"$1,945,053 "
Terry Rozier ,"$1,926,426 "
Dennis Schroeder ,"$1,862,056 "
Zoran Dragic ,"$1,854,770 "
James Young ,"$1,847,737 "
Rashad Vaughn ,"$1,829,997 "
Ryan Kelly ,"$1,820,716 "
Joffrey Lauvergne ,"$1,805,372 "
Louis Amundson ,"$1,795,109 "
Tyler Ennis ,"$1,755,363 "
Sam Dekker ,"$1,738,510 "
Lance Thomas ,"$1,728,417 "
Sergey Karasev ,"$1,689,345 "
Gary Harris ,"$1,676,294 "
Jerian Grant ,"$1,660,328 "
Tony Snell ,"$1,621,807 "
Bruno Caboclo ,"$1,609,262 "
Delon Wright ,"$1,593,803 "
Wayne Ellington ,"$1,583,919 "
Shane Larkin ,"$1,583,919 "
David West ,"$1,583,061 "
Matt Bonner ,"$1,583,061 "
Rasual Butler ,"$1,583,061 "
Caron Butler ,"$1,583,061 "
Ronnie Price ,"$1,583,061 "
Kendrick Perkins ,"$1,583,061 "
Tayshaun Prince ,"$1,583,061 "
Amare Stoudemire ,"$1,583,061 "
Metta World Peace ,"$1,583,061 "
Jason Terry ,"$1,583,061 "
Samuel Dalembert ,"$1,583,061 "
Charlie Villanueva ,"$1,583,061 "
Richard Jefferson ,"$1,583,061 "
James Jones ,"$1,583,061 "
Andre Miller ,"$1,154,704 "
Gorgui Dieng ,"$1,556,929 "
Mitch McGary ,"$1,544,892 "
Justin Anderson ,"$1,530,066 "
Marcus Thornton ,"$1,252,124 "
Pablo Prigioni ,"$464,616 "
Mason Plumlee ,"$1,494,713 "
Jordan Adams ,"$1,483,182 "
Gerald Green ,"$1,439,146 "
Andrea Bargnani ,"$1,439,146 "
Solomon Hill ,"$1,434,904 "
Sasha Vujacic ,"$1,432,017 "
Aaron Gray ,"$1,432,017 "
Rodney Hood ,"$1,423,880 "
Matthew Dellavedova ,"$1,422,651 "
Bobby Portis ,"$1,419,319 "
Rondae Hollis-Jefferson ,"$1,410,195 "
Alonzo Gee ,"$1,393,849 "
Tim Hardaway Jr ,"$1,377,503 "
Nikola Jokic ,"$1,372,730 "
Shabazz Napier ,"$1,366,859 "
Tyus Jones ,"$1,353,808 "
Sasha Kaun ,"$1,347,387 "
Luc Mbah a Moute ,"$1,342,070 "
Brandon Rush ,"$1,342,070 "
Cartier Martin ,"$1,342,070 "
Reggie Bullock ,"$1,322,467 "
Clint Capela ,"$1,312,246 "
Jarell Martin ,"$1,299,701 "
Andre Roberson ,"$1,278,540 "
PJ Hairston ,"$1,268,656 "
Boban Marjanovic ,"$1,267,135 "
Jeremy Evans ,"$1,252,124 "
Tyler Hansbrough ,"$1,252,124 "
Rudy Gobert ,"$1,241,666 "
Jordan Mickey ,"$1,236,471 "
Archie Goodwin ,"$1,225,067 "
CJ Wilcox ,"$1,224,560 "
Larry Nance Jr ,"$1,220,251 "
Chris Copeland ,"$1,214,338 "
Damjan Rudez ,"$1,213,810 "
RJ Hunter ,"$1,212,902 "
Kyle Anderson ,"$1,206,820 "
Josh Huestis ,"$1,204,032 "
Chris McCullough ,"$1,204,032 "
Kevon Looney ,"$1,195,289 "
JaKarr Sampson ,"$272,949 "
Garrett Temple ,"$1,162,177 "
Ishmael Smith ,"$1,162,177 "
Luke Babbitt ,"$1,162,177 "
Wesley Johnson ,"$1,162,177 "
Cole Aldrich ,"$1,162,177 "
Glenn Robinson III ,"$1,161,541 "
Ray McCallum ,"$136,726 "
Richaun Holmes ,"$1,135,142 "
Jared Cunningham ,"$60,955 "
Jon Leuer ,"$1,092,904 "
James Anderson ,"$1,072,230 "
Joey Dorsey ,"$1,072,230 "
E'Twaun Moore ,"$1,072,230 "
Donald Sloan ,"$1,072,230 "
Phil Pressey ,"$953,200 "
Joseph Young ,"$1,063,365 "
Rakeem Christmas ,"$1,063,365 "
Robert Covington ,"$1,055,946 "
Montrezl Harrell ,"$1,055,946 "
Walter Tavares ,"$1,055,946 "
Tim Frazier ,"$152,222 "
Robert Sacre ,"$1,036,261 "
John Jenkins ,"$1,036,252 "
Christapher Johnson ,"$1,036,251 "
Quincy Acy ,"$1,036,251 "
Hassan Whiteside ,"$1,036,251 "
Thomas Robinson ,"$1,036,251 "
Jeff Withey ,"$1,000,272 "
Seth Curry ,"$1,000,272 "
Allen Crabbe ,"$1,000,272 "
Hollis Thompson ,"$1,000,272 "
Isaiah Canaan ,"$1,000,272 "
Dewayne Dedmon ,"$1,000,272 "
Ian Clark ,"$1,000,272 "
Gal Mekel ,"$1,000,272 "
Justin Holiday ,"$1,000,272 "
Troy Daniels ,"$1,000,272 "
Mike Muscala ,"$1,000,272 "
James Ennis ,"$892,337 "
Elton Brand ,"$940,524 "
Damien Inglis ,"$902,834 "
Eric Moreland ,"$892,337 "
Jerami Grant ,"$892,337 "
Joe Harris ,"$892,337 "
Devyn Marble ,"$892,337 "
Langston Galloway ,"$892,337 "
Cleanthony Early ,"$892,337 "
Jarnell Stokes ,"$892,337 "
Johnny O'Bryant ,"$892,337 "
Tyler Johnson ,"$892,337 "
JaMychal Green ,"$892,337 "
Russ Smith ,"$892,337 "
Jordan Clarkson ,"$892,337 "
Tarik Black ,"$892,337 "
Shayne Whittington ,"$892,337 "
James Michael McAdoo ,"$892,337 "
Spencer Dinwiddie ,"$892,337 "
Nick Johnson ,"$892,337 "
Dwight Powell ,"$892,337 "
Cameron Bairstow ,"$892,337 "
Markel Brown ,"$892,337 "
Raul Neto ,"$886,995 "
Kostas Papanikolaou ,"$845,095 "
Pierre Jackson ,"$791,959 "
Norman Powell ,"$686,365 "
Jimmer Fredette ,"$60,955 "
Pat Connaughton ,"$660,064 "
Ryan Hollins ,"$448,673 "
Darrun Hilliard ,"$633,567 "
Treveon Graham ,"$554,470 "
Jonathon Simmons ,"$554,470 "
Duje Dukan ,"$554,470 "
Luis Montero ,"$554,470 "
Cliff Alexander ,"$554,470 "
TJ McConnell ,"$554,470 "
Josh Richardson ,"$554,470 "
Michael Frazier ,"$554,470 "
Anthony Brown ,"$554,470 "
Marcelo Huertas ,"$554,470 "
Branden Dawson ,"$554,470 "
Maurice Ndour ,"$554,470 "
Salah Mejri ,"$554,470 "
Cristiano Felicio ,"$554,470 "
Aaron Harrison ,"$554,470 "
Willie Reed ,"$554,470 "
Lamar Patterson ,"$554,470 "
Cory Jefferson ,"$383,179 "
Elijah Millsap ,"$372,681 "
Nazr Mohammed ,"$372,484 "
Jarell Eddie ,"$368,559 "
Christian Wood ,"$358,770 "
Sean Kilpatrick ,"$233,550 "
Michael Beasley ,"$323,675 "
Jorge Gutierrez ,"$317,733 "
Jeff Ayres ,"$265,982 "
Lorenzo Brown ,"$117,678 "
Andrew Goudelock ,"$211,822 "
Scottie Wilbekin ,"$211,189 "
Erick Green ,"$105,594 "
Greg Smith ,"$208,138 "
Jordan McRae ,"$117,417 "
Henry Sims ,"$170,675 "
Xavier Munford ,"$130,460 "
Jordan Hamilton ,"$126,144 "
Alan Williams ,"$120,677 "
Orlando Johnson ,"$58,839 "
Jonathan Holmes ,"$105,594 "
Bryce Cotton ,"$104,980 "
Justin Harper ,"$104,980 "
Alex Stepheson ,"$65,231 "
Chuck Hayes ,"$74,495 "
Keith Appling ,"$65,231 "
Bryce Dejean-Jones ,"$65,231 "
Axel Toupane ,"$65,231 "
Briante Weber ,"$32,615 "
Coty Clarke ,"$65,230 "
Elliot Williams ,"$60,955 "
Quincy Miller ,"$52,797 "
JJ O'Brien ,"$32,615 "
Thanasis Antetokounmpo ,"$32,615 "
Nate Robinson ,"$27,936 "
Dorell Wright ,"$18,623 "
John Holland ,"$9,784 "
"$123,035 ",
"$122,426 ",
"$107,047 ",
"$102,871 ",
"$99,174 ",
"$94,805 ",
"$94,805 ",
"$90,065 ",
"$88,590 ",
"$85,324 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$79,468 ",
"$76,287 ",
"$76,287 ",
"$76,287 ",
"$51,435 ",
"$51,435 ",
"$51,435 ",
"$51,435 ",
"$47,402 ",
"$47,402 ",
"$47,402 ",
"$47,402 ",
"$47,402 ",
