Player,2015/16
Kobe Bryant ,"$26,398,666 "
LeBron James ,"$24,255,622 "
Carmelo Anthony ,"$24,154,779 "
Dwight Howard ,"$23,610,295 "
Joe Johnson ,"$23,119,807 "
Chris Bosh ,"$23,434,339 "
Kevin Durant ,"$23,201,101 "
Chris Paul ,"$22,669,796 "
Derrick Rose ,"$21,217,203 "
Dwyane Wade ,"$21,118,933 "
LaMarcus Aldridge ,"$20,790,533 "
Marc Gasol ,"$20,790,533 "
DeAndre Jordan ,"$20,790,533 "
Kevin Love ,"$20,790,533 "
Brook Lopez ,"$20,790,533 "
Blake Griffin ,"$19,918,190 "
Paul Millsap ,"$19,716,276 "
David Lee ,"$15,876,268 "
Paul George ,"$17,845,498 "
Russell Westbrook ,"$17,681,001 "
Kawhi Leonard ,"$17,325,444 "
Enes Kanter ,"$17,325,444 "
Greg Monroe ,"$17,325,444 "
Wesley Matthews ,"$17,325,444 "
Kyrie Irving ,"$17,325,444 "
Jimmy Butler ,"$17,325,444 "
Tobias Harris ,"$16,895,146 "
James Harden ,"$16,598,491 "
Eric Gordon ,"$16,381,989 "
Roy Hibbert ,"$16,381,989 "
Klay Thompson ,"$16,368,229 "
Gordon Hayward ,"$16,271,684 "
Chandler Parsons ,"$16,220,924 "
Goran Dragic ,"$15,610,059 "
John Wall ,"$15,552,873 "
DeMarcus Cousins ,"$15,552,873 "
Khris Middleton ,"$15,522,415 "
Draymond Green ,"$15,058,718 "
Tristan Thompson ,"$15,057,799 "
Danilo Gallinari ,"$14,783,253 "
Reggie Jackson ,"$14,691,432 "
DeMarre Carroll ,"$14,360,874 "
Brandon Knight ,"$14,255,279 "
Eric Bledsoe ,"$14,255,279 "
Al Jefferson ,"$14,255,279 "
Tony Parker ,"$14,189,283 "
Joakim Noah ,"$14,149,685 "
JaVale McGee ,"$1,342,070 "
Nenê ,"$13,727,306 "
Tyson Chandler ,"$13,727,306 "
Ricky Rubio ,"$13,410,522 "
Robin Lopez ,"$13,357,725 "
Ty Lawson ,"$12,860,897 "
Rudy Gay ,"$13,097,013 "
Serge Ibaka ,"$12,935,346 "
Nikola Pekovic ,"$12,776,954 "
Derrick Favors ,"$12,671,359 "
Kyle Lowry ,"$12,671,359 "
Andrew Bogut ,"$12,671,359 "
Kemba Walker ,"$12,671,359 "
