Player,2016/17,,,
Kay Felder ,"$568,209 ",$0 ,$0 ,$0 
Treveon Graham ,"$568,209 ",$0 ,$0 ,$0 
Chasson Randle ,"$254,960 ",$0 ,$0 ,$0 
Arinze Onuaku ,"$446,201 ",$0 ,$0 ,$0 
Yogi Ferrell ,"$211,508 ",$0 ,$0 ,$0 
Johnny O'Bryant ,"$289,425 ",$0 ,$0 ,$0 
Aaron Harrison ,"$381,916 ","$92,857 ","$92,857 ",$0 
Okaro White ,"$325,151 ",$0 ,$0 ,$0 
Isaiah Taylor ,"$318,883 ",$0 ,$0 ,$0 
Norris Cole ,"$301,246 ",$0 ,$0 ,$0 
Ben Bentil ,"$261,379 ",$0 ,$0 ,$0 
Jarell Eddie ,"$107,581 ",$0 ,$0 ,$0 
Yi Jianlian ,"$261,379 ",$0 ,$0 ,$0 
Elliot Williams ,"$261,379 ",$0 ,$0 ,$0 
Lamar Patterson ,"$254,022 ",$0 ,$0 ,$0 
Jordan Crawford ,"$245,613 ",$0 ,$0 ,$0 
Nicolas Laprovittola ,"$213,914 ",$0 ,$0 ,$0 
Reggie Williams ,"$202,106 ",$0 ,$0 ,$0 
Pierre Jackson ,"$200,540 ",$0 ,$0 ,$0 
Brandon Paul ,"$162,055 ",$0 ,$0 ,$0 
Shawn Long ,"$161,545 ",$0 ,$0 ,$0 
Jarnell Stokes ,"$156,827 ",$0 ,$0 ,$0 
Robbie Hummel ,"$156,827 ",$0 ,$0 ,$0 
Mike Tobey ,"$145,261 ",$0 ,$0 ,$0 
Patricio Garino ,"$33,423 ",$0 ,$0 ,$0 
Jarrod Uthoff ,"$83,557 ",$0 ,$0 ,$0 
Marcus Paige ,"$130,689 ",$0 ,$0 ,$0 
Manny Harris ,"$124,932 ",$0 ,$0 ,$0 
Ray McCallum ,"$124,932 ",$0 ,$0 ,$0 
Wayne Selden ,"$86,902 ",$0 ,$0 ,$0 
Isaiah Cousins ,"$104,551 ",$0 ,$0 ,$0 
JP Tokoto ,"$104,551 ",$0 ,$0 ,$0 
Stefan Jankovic ,"$104,551 ",$0 ,$0 ,$0 
Egidijus Mockevicius ,"$104,551 ",$0 ,$0 ,$0 
Quinn Cook ,"$33,423 ",$0 ,$0 ,$0 
Marcus Georges-Hunt ,"$26,137 ",$0 ,$0 ,$0 
Jordan Farmar ,"$86,753 ",$0 ,$0 ,$0 
Prince Ibeh ,"$80,766 ",$0 ,$0 ,$0 
Quincy Ford ,"$78,413 ",$0 ,$0 ,$0 
Henry Sims ,"$78,413 ",$0 ,$0 ,$0 
Ryan Arcidiacono ,"$78,413 ",$0 ,$0 ,$0 
Kaleb Tarczewski ,"$78,413 ",$0 ,$0 ,$0 
Keith Benson ,"$78,413 ",$0 ,$0 ,$0 
Alex Poythress ,"$36,991 ",$0 ,$0 ,$0 
David Nwaba ,"$76,874 ",$0 ,$0 ,$0 
Gary Neal ,"$75,479 ",$0 ,$0 ,$0 
Kyle Collinsworth ,"$73,186 ",$0 ,$0 ,$0 
Thomas Walkup ,"$72,663 ",$0 ,$0 ,$0 
James Webb ,"$67,958 ",$0 ,$0 ,$0 
Zach Auguste ,"$62,731 ",$0 ,$0 ,$0 
Brady Heslip ,"$59,071 ",$0 ,$0 ,$0 
EJ Singler ,"$52,275 ",$0 ,$0 ,$0 
Dionte Christmas ,"$52,275 ",$0 ,$0 ,$0 
Anthony Barber ,"$52,275 ",$0 ,$0 ,$0 
Alex Caruso ,"$52,275 ",$0 ,$0 ,$0 
Julyan Stone ,"$52,275 ",$0 ,$0 ,$0 
Elgin Cook ,"$52,275 ",$0 ,$0 ,$0 
Scott Wood ,"$52,275 ",$0 ,$0 ,$0 
DJ Kennedy ,"$52,275 ",$0 ,$0 ,$0 
Nate Wolters ,"$52,275 ",$0 ,$0 ,$0 
Damion Lee ,"$52,275 ",$0 ,$0 ,$0 
Matt Costello ,"$52,275 ",$0 ,$0 ,$0 
Beau Beech ,"$47,048 ",$0 ,$0 ,$0 
Phil Pressey ,"$36,593 ",$0 ,$0 ,$0 
Nikola Jovanovic ,"$31,365 ",$0 ,$0 ,$0 
Tony Wroten ,"$26,137 ",$0 ,$0 ,$0 
Nick Zeisloft ,"$26,137 ",$0 ,$0 ,$0 
Jalen Jones ,"$26,137 ",$0 ,$0 ,$0 
Dahntay Jones ,"$25,115 ",$0 ,$0 ,$0 
"$76,236 ",$0 ,$0 ,$0 ,$0 
"$76,236 ",$0 ,$0 ,$0 ,$0 
"$76,236 ",$0 ,$0 ,$0 ,$0 
"$75,000 ",$0 ,$0 ,$0 ,$0 
"$56,845 ",$0 ,$0 ,$0 ,$0 
"$47,370 ",$0 ,$0 ,$0 ,$0 
"$47,370 ",$0 ,$0 ,$0 ,$0 
"$47,370 ",$0 ,$0 ,$0 ,$0 
"$47,370 ",$0 ,$0 ,$0 ,$0 
"$47,370 ",$0 ,$0 ,$0 ,$0 
"$47,370 ",$0 ,$0 ,$0 ,$0 
"$20,000 ",$0 ,$0 ,$0 ,$0 
